id,phrase,level,main_category,sub_category
101,have a chat,C1,Communication_Media_Arts,Speaking_Expressions
102,at breakneck speed,C2,Daily_Life,Routine_Activities
103,have a look,C1,Daily_Life,General_Interactions
104,brisk business,C2,Business_Finance_Economy,Business_Management
105,have a party,C1,Communication_Media_Arts,Arts_Creativity
106,brisk efficiency,C2,Business_Finance_Economy,Entrepreneurship
107,have a rest,C1,Daily_Life,General_Interactions
108,brisk pace,B2,Business_Finance_Economy,Entrepreneurship
109,lead a discussion,C2,Education,Classroom_Interaction
110,brisk walk,B2,Business_Finance_Economy,Entrepreneurship
111,lead a life,C1,Science_Nature,Biology_Life_Sciences
112,come to a standstill,C2,Health_Medicine,Healthcare_Hospital
113,lead an enquiry,C2,Daily_Life,General_Interactions
114,fast car,B1,Travel_Transportation,Road_Travel
115,lead an expedition,C2,Daily_Life,General_Interactions
116,fast computer,C2,Technology_Digital,Devices_Hardware
117,learn the hard way,C2,Education,Learning_Skills
118,fast lane,B2,Daily_Life,General_Interactions
119,fast pace,B2,Daily_Life,Routine_Activities
120,make a good impression,C2,Communication_Media_Arts,Media_Journalism
121,fast train,B2,Technology_Digital,Artificial_Intelligence
122,gather speed,C1,Daily_Life,Routine_Activities
123,make demands on,C2,Business_Finance_Economy,Economy_Markets
124,go astray,B2,Daily_Life,General_Interactions
125,make progress,C2,Daily_Life,General_Interactions
126,hasty conclusion,C2,Daily_Life,General_Interactions
127,make your way,C2,Daily_Life,General_Interactions
128,hasty decision,C2,Daily_Life,General_Interactions
129,meet requirements,C2,Daily_Life,General_Interactions
130,hasty exit,B2,Daily_Life,General_Interactions
131,piece of advice,C2,Daily_Life,General_Interactions
132,hasty words,C1,Daily_Life,General_Interactions
133,really enjoy,C1,Psychology_Emotions,Feelings_Emotions
134,in slow motion,C2,Daily_Life,General_Interactions
135,run a bath,B2,Daily_Life,Routine_Activities
136,leisurely breakfast,C2,Daily_Life,Routine_Activities
137,sharp bend,B2,Daily_Life,General_Interactions
138,lose your balance,C2,Psychology_Emotions,Stress_Mental_State
139,sharp contrast,C2,Daily_Life,General_Interactions
140,lose your footing,C2,Daily_Life,General_Interactions
141,sharp difference,C2,Daily_Life,General_Interactions
142,make a detour,C2,Travel_Transportation,Navigation_Directions
143,sharp distinction,C2,Daily_Life,General_Interactions
144,painfully slow,C2,Health_Medicine,Illness_Diseases
145,sharp drop,B2,Daily_Life,General_Interactions
146,pick up speed,C2,Daily_Life,Routine_Activities
147,sharp increase,C2,Daily_Life,General_Interactions
148,prompt payment,C2,Business_Finance_Economy,Finance_Banking
149,sharp pain,B2,Health_Medicine,Illness_Diseases
150,prompt reply,C1,Communication_Media_Arts,Speaking_Expressions
151,sharp rise,B2,Daily_Life,General_Interactions
152,prompt response,C2,Psychology_Emotions,Behavior
153,sharp turn,B2,Daily_Life,General_Interactions
154,quick answer,C1,Education,Classroom_Interaction
155,spend your time,C2,Daily_Life,Time_Management
156,quick decision,C2,Daily_Life,General_Interactions
157,study for a degree,C2,Education,Academic_Study
158,quick glance,C1,Daily_Life,General_Interactions
159,take a look,C1,Daily_Life,General_Interactions
160,quick look,B2,Daily_Life,General_Interactions
161,take an exam,C1,Education,Exams_Assessments
162,quick lunch,C1,Health_Medicine,Nutrition_Diet
163,take care of,C1,Travel_Transportation,Road_Travel
164,quick shower,C1,Daily_Life,Routine_Activities
165,thoroughly enjoy,C2,Psychology_Emotions,Feelings_Emotions
166,rapid change,C1,Daily_Life,General_Interactions
167,try every possible way,C2,Daily_Life,General_Interactions
168,rapid decline,C2,Business_Finance_Economy,Economy_Markets
169,university entry,C2,Education,University_School
170,rapid growth,C1,Daily_Life,General_Interactions
171,wise choice,C1,Daily_Life,General_Interactions
172,rapid increase,C2,Business_Finance_Economy,Economy_Markets
173,accept an offer,C2,Daily_Life,General_Interactions
174,rapid movement,C2,Daily_Life,General_Interactions
175,aches and pains,C2,Health_Medicine,Illness_Diseases
176,rapid progress,C2,Daily_Life,General_Interactions
177,alleviate pain,C2,Health_Medicine,Illness_Diseases
178,slow-moving traffic,C2,Travel_Transportation,Road_Travel
179,cause pain,B2,Health_Medicine,Illness_Diseases
180,slow to a crawl,C2,Daily_Life,General_Interactions
181,complain of pain,C2,Health_Medicine,Illness_Diseases
182,speedy access,C2,Daily_Life,General_Interactions
183,constant pain,C2,Health_Medicine,Illness_Diseases
184,speedy conclusion,C2,Daily_Life,General_Interactions
185,ease pain,B2,Health_Medicine,Illness_Diseases
186,speedy recovery,C2,Health_Medicine,Healthcare_Hospital
187,experience pain,C2,Health_Medicine,Illness_Diseases
188,speedy response,C2,Psychology_Emotions,Behavior
189,feel pain,B2,Health_Medicine,Illness_Diseases
190,steer the conversation,C2,Communication_Media_Arts,Speaking_Expressions
191,inflict pain,C1,Health_Medicine,Illness_Diseases
192,swift action,C1,Psychology_Emotions,Behavior
193,lessen pain,C1,Health_Medicine,Illness_Diseases
194,swift reaction,C2,Science_Nature,Physics_Chemistry
195,pain subsides,C2,Health_Medicine,Illness_Diseases
196,swift recovery,C2,Health_Medicine,Healthcare_Hospital
197,racked with pain,C2,Health_Medicine,Illness_Diseases
198,swift response,C2,Psychology_Emotions,Behavior
199,relieve pain,C1,Health_Medicine,Illness_Diseases
200,take a detour,C2,Travel_Transportation,Navigation_Directions
201,take a shortcut,C2,Travel_Transportation,Navigation_Directions
202,soothe pain,C1,Health_Medicine,Illness_Diseases
203,take steps,B2,Daily_Life,General_Interactions
204,suffer from pain,C2,Health_Medicine,Illness_Diseases
205,top speed,B2,Daily_Life,Routine_Activities
206,take someone up on an offer,C2,Daily_Life,General_Interactions
207,turn something upside down,C2,Daily_Life,General_Interactions
208,acutely embarrassing,C2,Psychology_Emotions,Feelings_Emotions
209,unhurried manner,C2,Psychology_Emotions,Behavior
210,blissfully happy,C2,Psychology_Emotions,Feelings_Emotions
211,adopt an approach,C2,Technology_Digital,Software_Internet
212,blissfully unaware,C2,Psychology_Emotions,Feelings_Emotions
213,become available,C2,Technology_Digital,Artificial_Intelligence
214,become successful,C2,Psychology_Emotions,Motivation
215,break a habit,C2,Psychology_Emotions,Behavior
216,burst into song,C2,Psychology_Emotions,Feelings_Emotions
217,change doctors,C2,Health_Medicine,Healthcare_Hospital
218,burst into tears,C2,Psychology_Emotions,Feelings_Emotions
219,change jobs,C1,Business_Finance_Economy,Jobs_Careers
220,company expands,C2,Business_Finance_Economy,Business_Management
221,change places,C2,Daily_Life,Routine_Activities
222,company grows,C2,Business_Finance_Economy,Business_Management
223,change schools,C2,Education,University_School
224,company merges,C2,Business_Finance_Economy,Business_Management
225,change seats,C1,Daily_Life,Routine_Activities
226,create opportunities,C2,Health_Medicine,Healthcare_Hospital
227,change the baby,C2,Daily_Life,General_Interactions
228,economy booms,C2,Business_Finance_Economy,Economy_Markets
229,change the beds,C2,Daily_Life,Routine_Activities
230,filled with horror,C2,Psychology_Emotions,Feelings_Emotions
231,change the subject,C2,Communication_Media_Arts,Speaking_Expressions
232,fully aware,C1,Society_Law_Politics,Law_Crime
233,change your clothes,C2,Daily_Life,Routine_Activities
234,ginger cat,B2,Daily_Life,General_Interactions
235,change your mind,C2,Health_Medicine,Mental_Health
236,happily married,C2,Technology_Digital,Software_Internet
237,convert to christianity,C2,Daily_Life,General_Interactions
238,exchange addresses,C2,Communication_Media_Arts,Speaking_Expressions
239,key issue,B2,Daily_Life,General_Interactions
240,exchange ideas,C2,Daily_Life,General_Interactions
241,major problem,C2,Daily_Life,General_Interactions
242,exchange money,C2,Business_Finance_Economy,Finance_Banking
243,have clothes altered,C2,Daily_Life,General_Interactions
244,pang of nostalgia,C2,Psychology_Emotions,Feelings_Emotions
245,improvement in performance,C2,Communication_Media_Arts,Speaking_Expressions
246,place gently,C1,Daily_Life,Routine_Activities
247,kick the habit,C2,Psychology_Emotions,Behavior
248,pose a problem,C2,Daily_Life,General_Interactions
249,make an adjustment,C2,Daily_Life,General_Interactions
250,prices rise,C1,Business_Finance_Economy,Economy_Markets
251,make a slight alteration,C2,Daily_Life,General_Interactions
252,pull steadily,C2,Daily_Life,Routine_Activities
253,make modifications,C2,Daily_Life,General_Interactions
254,roar with laughter,C2,Psychology_Emotions,Feelings_Emotions
255,move house,B2,Daily_Life,Home_Housing
256,sense of pride,C2,Psychology_Emotions,Feelings_Emotions
257,power to transform,C2,Daily_Life,General_Interactions
258,smile proudly,C2,Psychology_Emotions,Feelings_Emotions
259,price rises,C1,Business_Finance_Economy,Economy_Markets
260,surge of anger,C2,Psychology_Emotions,Feelings_Emotions
261,problem arises,C2,Daily_Life,General_Interactions
262,surge of emotion,C2,Health_Medicine,Mental_Health
263,profits rise,C1,Business_Finance_Economy,Finance_Banking
264,swell with pride,C2,Psychology_Emotions,Feelings_Emotions
265,raise a question,C2,Education,Classroom_Interaction
266,tread carefully,C2,Travel_Transportation,Road_Travel
267,raise taxes,C1,Technology_Digital,Artificial_Intelligence
268,well with pride,C2,Psychology_Emotions,Feelings_Emotions
269,raise your hand,C2,Technology_Digital,Artificial_Intelligence
270,revolutionise the way,C2,Science_Nature,Biology_Life_Sciences
271,alight from a bus,C2,Travel_Transportation,Public_Transport
272,standard of living rises,C2,Daily_Life,General_Interactions
273,axe jobs,B1,Business_Finance_Economy,Jobs_Careers
274,the sun rises,C2,Daily_Life,General_Interactions
275,badly need,B2,Daily_Life,General_Interactions
276,address someone politely,C2,Daily_Life,General_Interactions
277,battle against floods,C2,Science_Nature,Natural_Phenomena
278,apologise profusely,C2,Daily_Life,General_Interactions
279,bear the cost,C2,Business_Finance_Economy,Economy_Markets
280,ask someone a favour,C2,Daily_Life,General_Interactions
281,board an aircraft,C2,Technology_Digital,Artificial_Intelligence
282,brief chat,B2,Communication_Media_Arts,Speaking_Expressions
283,bored stiff,C1,Psychology_Emotions,Feelings_Emotions
284,challenge someone directly,C2,Daily_Life,General_Interactions
285,crack down,B2,Daily_Life,General_Interactions
286,cyclists dismount,C2,Travel_Transportation,Public_Transport
287,complain bitterly,C2,Technology_Digital,Artificial_Intelligence
288,dead keen,B2,Daily_Life,General_Interactions
289,crack a joke,C1,Daily_Life,General_Interactions
290,dispose of items,C2,Daily_Life,General_Interactions
291,crack a joke police,C2,Society_Law_Politics,Law_Crime
292,embark upon an explanation,C2,Daily_Life,General_Interactions
293,delicate subject,C2,Daily_Life,General_Interactions
294,extremely keen,C2,Daily_Life,General_Interactions
295,drop a hint,C1,Daily_Life,General_Interactions
296,falling profits,C2,Business_Finance_Economy,Finance_Banking
297,get into conversation,C2,Communication_Media_Arts,Speaking_Expressions
298,floods hit,B2,Science_Nature,Natural_Phenomena
299,get to the point,C2,Communication_Media_Arts,Writing_Language
300,get on a plane,C2,Travel_Transportation,Air_Travel
301,give someone instructions,C2,Daily_Life,General_Interactions
302,give someone your word,C2,Daily_Life,General_Interactions
303,have a word,C1,Communication_Media_Arts,Speaking_Expressions
304,have a think,C1,Daily_Life,General_Interactions
305,join in a conversation,C2,Communication_Media_Arts,Speaking_Expressions
306,job losses,B2,Business_Finance_Economy,Finance_Banking
307,lengthy discussion,C2,Education,Classroom_Interaction
308,launch into an explanation,C2,Daily_Life,General_Interactions
309,lull in the conversation,C2,Communication_Media_Arts,Speaking_Expressions
310,major companies,C2,Business_Finance_Economy,Economy_Markets
311,make an observation,C2,Science_Nature,Research_Methods
312,make redundant,C2,Business_Finance_Economy,Economy_Markets
313,make a speech,C2,Daily_Life,General_Interactions
314,missing teenager,C2,Communication_Media_Arts,Speaking_Expressions
315,make it clear,C2,Communication_Media_Arts,Writing_Language
316,outbreak hits,C2,Science_Nature,Natural_Phenomena
317,make polite conversation,C2,Communication_Media_Arts,Speaking_Expressions
318,police crack down,C2,Society_Law_Politics,Law_Crime
319,plead ignorance,C2,Daily_Life,General_Interactions
320,police quiz,C1,Society_Law_Politics,Law_Crime
321,quick word,B2,Communication_Media_Arts,Speaking_Expressions
322,pretty awful,C1,Daily_Life,General_Interactions
323,raise a subject,C2,Technology_Digital,Artificial_Intelligence
324,pretty dreadful,C2,Daily_Life,General_Interactions
325,speak a language,C2,Communication_Media_Arts,Speaking_Expressions
326,pretty dull,C1,Daily_Life,General_Interactions
327,speak off the record,C2,Communication_Media_Arts,Speaking_Expressions
328,prime suspect,C2,Daily_Life,General_Interactions
329,strike up a conversation,C2,Communication_Media_Arts,Speaking_Expressions
330,prosecute trespassers,C2,Education,Exams_Assessments
331,tell a joke,C1,Communication_Media_Arts,Speaking_Expressions
332,pump prices,C1,Business_Finance_Economy,Economy_Markets
333,tell a lie,B2,Communication_Media_Arts,Speaking_Expressions
334,raise capital,C2,Business_Finance_Economy,Finance_Banking
335,tell a story,C1,Communication_Media_Arts,Writing_Language
336,receptacle provided,C2,Daily_Life,General_Interactions
337,tell the truth,C2,Communication_Media_Arts,Speaking_Expressions
338,slash prices,C1,Business_Finance_Economy,Economy_Markets
339,tone of someone's voice,C2,Communication_Media_Arts,Speaking_Expressions
340,spending rockets,C2,Business_Finance_Economy,Economy_Markets
341,whisper softly,C2,Daily_Life,General_Interactions
342,start up a business,C2,Business_Finance_Economy,Business_Management
343,wish someone luck,C2,Daily_Life,General_Interactions
344,submit a tender,C2,Business_Finance_Economy,Economy_Markets
345,take responsibility,C2,Daily_Life,General_Interactions
346,different walks of life,C2,Science_Nature,Biology_Life_Sciences
347,unwanted items,C2,Daily_Life,General_Interactions
348,easy walk,B2,Daily_Life,Routine_Activities
349,absolutely absurd,C2,Daily_Life,General_Interactions
350,faltering steps,C2,Daily_Life,General_Interactions
351,absolutely alone,C2,Psychology_Emotions,Feelings_Emotions
352,gentle stroll,C2,Daily_Life,Routine_Activities
353,absolutely appalled,C2,Psychology_Emotions,Feelings_Emotions
354,gentle walk,C1,Daily_Life,Routine_Activities
355,absolutely convinced,C2,Daily_Life,General_Interactions
356,get off on the wrong foot,C2,Daily_Life,General_Interactions
357,absolutely devastated,C2,Psychology_Emotions,Feelings_Emotions
358,go for a run,C1,Daily_Life,Routine_Activities
359,absolutely exhausted,C2,Psychology_Emotions,Feelings_Emotions
360,go for a walk,C2,Daily_Life,Routine_Activities
361,absolutely impossible,C2,Daily_Life,General_Interactions
362,go on foot,B2,Daily_Life,General_Interactions
363,absolutely miserable,C2,Psychology_Emotions,Feelings_Emotions
364,go running,B2,Health_Medicine,Fitness_Exercise
365,absolutely ridiculous,C2,Daily_Life,General_Interactions
366,heavy steps,C1,Daily_Life,General_Interactions
367,absolutely stupid,C2,Daily_Life,General_Interactions
368,leisurely stroll,C2,Daily_Life,Routine_Activities
369,absolutely wrong,C2,Daily_Life,General_Interactions
370,light steps,C1,Daily_Life,General_Interactions
371,argue strongly,C2,Communication_Media_Arts,Speaking_Expressions
372,make great strides,C2,Health_Medicine,Healthcare_Hospital
373,pace up and down,C2,Daily_Life,General_Interactions
374,pick your way cautiously,C2,Daily_Life,General_Interactions
375,bitterly disappointing,C2,Psychology_Emotions,Feelings_Emotions
376,run into problems,C2,Daily_Life,General_Interactions
377,bitterly regret,C2,Daily_Life,General_Interactions
378,run up against opposition,C2,Technology_Digital,Artificial_Intelligence
379,bitterly resent,C2,Daily_Life,General_Interactions
380,rush headlong into,C2,Daily_Life,General_Interactions
381,care deeply,C1,Travel_Transportation,Road_Travel
382,stride angrily,C2,Daily_Life,General_Interactions
383,stride confidently,C2,Psychology_Emotions,Feelings_Emotions
384,cry bitterly,C1,Daily_Life,General_Interactions
385,stride purposefully,C2,Psychology_Emotions,Motivation
386,deeply affected,C2,Daily_Life,General_Interactions
387,take a stroll,C2,Daily_Life,Routine_Activities
388,deeply ashamed,C2,Daily_Life,General_Interactions
389,deeply committed,C2,Daily_Life,General_Interactions
390,walk an exam,C1,Education,Exams_Assessments
391,deeply concerned,C2,Daily_Life,General_Interactions
392,walk briskly,C1,Business_Finance_Economy,Entrepreneurship
393,deeply hurt,C1,Daily_Life,General_Interactions
394,walking encyclopaedia,C2,Health_Medicine,Fitness_Exercise
395,deeply moved,C1,Daily_Life,General_Interactions
396,walk swiftly,C1,Daily_Life,Routine_Activities
397,deeply regret,C2,Daily_Life,General_Interactions
398,wander aimlessly,C2,Technology_Digital,Artificial_Intelligence
399,deeply religious,C2,Daily_Life,General_Interactions
400,abrupt end,B2,Daily_Life,General_Interactions
401,deeply shocked,C2,Daily_Life,General_Interactions
402,absolute beginner,C2,Education,General
403,deeply unhappy,C2,Psychology_Emotions,Feelings_Emotions
404,bring something to an end,C2,Daily_Life,General_Interactions
405,extremely competitive,C2,Daily_Life,General_Interactions
406,close finish,C1,Daily_Life,Routine_Activities
407,extremely controversial,C2,Daily_Life,General_Interactions
408,come to an end,C2,Daily_Life,General_Interactions
409,extremely effective,C2,Daily_Life,General_Interactions
410,draw to a close,C2,Daily_Life,General_Interactions
411,extremely likely,C2,Technology_Digital,Social_Media
412,early start,C1,Communication_Media_Arts,Arts_Creativity
413,extremely profitable,C2,Business_Finance_Economy,Finance_Banking
414,end result,B2,Daily_Life,General_Interactions
415,extremely successful,C2,Daily_Life,General_Interactions
416,get off to a good start,C2,Communication_Media_Arts,Arts_Creativity
417,extremely unlikely,C2,Technology_Digital,Social_Media
418,get started,C1,Communication_Media_Arts,Arts_Creativity
419,extremely unusual,C2,Daily_Life,General_Interactions
420,holiday ended,C2,Travel_Transportation,Hotels_Tourism
421,feel strongly,C2,Psychology_Emotions,Feelings_Emotions
422,journey ended,C2,Travel_Transportation,Road_Travel
423,highly competitive,C2,Daily_Life,General_Interactions
424,make a start,C1,Communication_Media_Arts,Arts_Creativity
425,highly controversial,C2,Daily_Life,General_Interactions
426,mark the beginning of the end,C2,Daily_Life,General_Interactions
427,highly educated,C2,Education,General
428,meal ended,B2,Health_Medicine,Nutrition_Diet
429,nail-biting finish,C2,Technology_Digital,Artificial_Intelligence
430,highly likely,C2,Technology_Digital,Social_Media
431,perfect end,C1,Daily_Life,General_Interactions
432,highly profitable,C2,Business_Finance_Economy,Finance_Banking
433,promising start,C2,Communication_Media_Arts,Arts_Creativity
434,highly recommended,C2,Daily_Life,General_Interactions
435,put the finishing touches to,C2,Daily_Life,General_Interactions
436,highly successful,C2,Daily_Life,General_Interactions
437,trip ended,B2,Travel_Transportation,Hotels_Tourism
438,highly unlikely,C2,Technology_Digital,Social_Media
439,be a recipe for disaster,C2,Psychology_Emotions,Stress_Mental_State
440,highly unusual,C2,Daily_Life,General_Interactions
441,brilliant success,C2,Psychology_Emotions,Motivation
442,ridiculously cheap,C2,Daily_Life,General_Interactions
443,bring out the best,C2,Daily_Life,General_Interactions
444,ridiculously early,C2,Daily_Life,General_Interactions
445,come in useful,C2,Daily_Life,General_Interactions
446,ridiculously easy,C2,Daily_Life,General_Interactions
447,crowning achievement,C2,Psychology_Emotions,Motivation
448,ridiculously expensive,C2,Daily_Life,General_Interactions
449,dash someone's hopes,C2,Daily_Life,General_Interactions
450,ridiculously high,C2,Daily_Life,General_Interactions
451,dismal failure,C2,Education,Exams_Assessments
452,ridiculously large,C2,Daily_Life,General_Interactions
453,doomed to failure,C2,Education,Exams_Assessments
454,ridiculously long,C2,Daily_Life,Time_Management
455,dramatic improvement,C2,Daily_Life,General_Interactions
456,ridiculously low,C2,Daily_Life,General_Interactions
457,effective way,C2,Daily_Life,General_Interactions
458,ridiculously short,C2,Daily_Life,Time_Management
459,enjoy the fruits of,C2,Psychology_Emotions,Feelings_Emotions
460,ridiculously small,C2,Daily_Life,General_Interactions
461,excellent grasp of,C2,Science_Nature,Biology_Life_Sciences
462,fail an exam,C1,Education,Exams_Assessments
463,strongly believe,C2,Daily_Life,General_Interactions
464,fail miserably,C2,Education,Exams_Assessments
465,strongly condemn,C2,Daily_Life,General_Interactions
466,gain good marks,C2,Education,General
467,go badly wrong,C2,Daily_Life,General_Interactions
468,strongly dislike,C2,Technology_Digital,Social_Media
469,go out of business,C2,Business_Finance_Economy,Business_Management
470,strongly influence,C2,Daily_Life,General_Interactions
471,great success,C2,Psychology_Emotions,Motivation
472,guarantee success,C2,Daily_Life,General_Interactions
473,strongly opposed,C2,Daily_Life,General_Interactions
474,hard work,B2,Business_Finance_Economy,Jobs_Careers
475,strongly recommend,C2,Daily_Life,General_Interactions
476,have a grasp of,C2,Daily_Life,General_Interactions
477,strongly suggest,C2,Daily_Life,General_Interactions
478,have the ability to,C2,Education,Learning_Skills
479,strongly support,C2,Daily_Life,General_Interactions
480,highly effective,C2,Daily_Life,General_Interactions
481,utterly alone,C2,Psychology_Emotions,Feelings_Emotions
482,lose your nerve,C2,Daily_Life,General_Interactions
483,utterly appalled,C2,Psychology_Emotions,Feelings_Emotions
484,make a breakthrough,C2,Psychology_Emotions,Motivation
485,utterly convinced,C2,Daily_Life,General_Interactions
486,make a contribution,C2,Daily_Life,General_Interactions
487,utterly devastated,C2,Psychology_Emotions,Feelings_Emotions
488,make good progress,C2,Daily_Life,General_Interactions
489,utterly exhausted,C2,Psychology_Emotions,Feelings_Emotions
490,miss the point,C2,Daily_Life,General_Interactions
491,utterly impossible,C2,Daily_Life,General_Interactions
492,pass an exam,C1,Education,Exams_Assessments
493,utterly miserable,C2,Psychology_Emotions,Feelings_Emotions
494,play flops,B2,Communication_Media_Arts,Speaking_Expressions
495,utterly ridiculous,C2,Daily_Life,General_Interactions
496,remarkable achievement,C2,Psychology_Emotions,Motivation
497,utterly stupid,C2,Daily_Life,General_Interactions
498,spectacular failure,C2,Education,Exams_Assessments
499,utterly wrong,C2,Daily_Life,General_Interactions
500,take advantage of,C2,Daily_Life,General_Interactions
501,weep bitterly,C2,Daily_Life,General_Interactions
502,useful contribution,C2,Daily_Life,General_Interactions
503,a phone call,C1,Technology_Digital,Devices_Hardware
504,win respect,C1,Society_Law_Politics,Human_Rights
505,do an experiment,C2,Science_Nature,Research_Methods
506,adverse effect,C2,Daily_Life,General_Interactions
507,do damage,B2,Daily_Life,General_Interactions
508,affect someone deeply,C2,Daily_Life,General_Interactions
509,do exercises,C1,Health_Medicine,Fitness_Exercise
510,attract criticism,C2,Psychology_Emotions,Behavior
511,do harm,B1,Daily_Life,General_Interactions
512,attract interest,C2,Psychology_Emotions,Behavior
513,do someone a favour,C2,Daily_Life,General_Interactions
514,attract support,C2,Psychology_Emotions,Behavior
